time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
32.861179,1449178,0x032A44,0x0084,0x84,0,cur_mid,0x00,1,1,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x03,0x4A,0x20,0x02,0x5A,0x50000,0x050000,5,0x21400,1,1,current_low_write
32.861179,1449178,0x032A48,0x0005,0x05,0,loop_high,0x96,2,2,0x1C,0x00,0x00,0x00001C,0x00,0x96,0x9600,0x03,0x4A,0x20,0x02,0x5A,0x50000,0x050000,5,0x21400,1,1,
32.861202,1449179,0x032A4D,0x0085,0x85,0,cur_high,0x96,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0x03,0x4A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,current_pair_complete
32.861202,1449179,0x032A51,0x0006,0x06,0,end,0xD5,1,1,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x4A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,
32.861202,1449179,0x032A55,0x0007,0x07,0,delta,0x87,2,2,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x87,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,
32.861224,1449180,0x032A5A,0x0086,0x86,0,ctrl,0x5A,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x87,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,retrigger_commit
32.895896,1450709,0x032AD8,0x0008,0x08,1,cur_low,0x1C,0,0,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x03,0x4A,0x02,0x20,0x5A,0x50000,0x050000,5,0x21400,1,1,
32.895941,1450711,0x032ADD,0x000C,0x0C,1,loop_mid,0x00,0,0,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x03,0x4A,0x02,0x20,0x5A,0x50000,0x050000,5,0x21400,1,1,
32.895941,1450711,0x032AE1,0x008C,0x8C,1,cur_mid,0x00,1,1,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x03,0x4A,0x02,0x20,0x5A,0x50000,0x050000,5,0x21400,1,1,current_low_write
32.895941,1450711,0x032AE5,0x000D,0x0D,1,loop_high,0x96,2,2,0x1C,0x00,0x00,0x00001C,0x00,0x96,0x9600,0x03,0x4A,0x02,0x20,0x5A,0x50000,0x050000,5,0x21400,1,1,
32.895964,1450712,0x032AEA,0x008D,0x8D,1,cur_high,0x96,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0x03,0x4A,0x02,0x20,0x5A,0x50000,0x059600,6,0x21800,1,1,current_pair_complete
32.895964,1450712,0x032AEE,0x000E,0x0E,1,end,0xD5,1,1,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x4A,0x02,0x20,0x5A,0x50000,0x059600,6,0x21800,1,1,
32.895964,1450712,0x032AF2,0x000F,0x0F,1,delta,0x87,2,2,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x87,0x02,0x20,0x5A,0x50000,0x059600,6,0x21800,1,1,
32.895986,1450713,0x032AF7,0x008E,0x8E,1,ctrl,0x5A,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x87,0x02,0x20,0x5A,0x50000,0x059600,6,0x21800,1,1,retrigger_commit
