time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
86.288980,3805344,0x0584C7,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.306077,3806098,0x0584CE,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.306077,3806098,0x0584D2,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.306100,3806099,0x0584D7,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.306100,3806099,0x0584DB,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.306122,3806100,0x0584E0,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.323243,3806855,0x0584E7,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.323243,3806855,0x0584EB,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.323265,3806856,0x0584F0,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.323265,3806856,0x0584F4,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.323288,3806857,0x0584F9,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.340385,3807611,0x058500,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.340385,3807611,0x058504,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.340408,3807612,0x058509,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.340408,3807612,0x05850D,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.340431,3807613,0x058512,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.357574,3808369,0x05853B,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.357574,3808369,0x05853F,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.357596,3808370,0x058544,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.357596,3808370,0x058548,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.357619,3808371,0x05854D,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.374512,3809116,0x058553,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.374512,3809116,0x058557,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.374535,3809117,0x05855C,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.374535,3809117,0x058560,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.374558,3809118,0x058565,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.391655,3809872,0x05856C,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.391655,3809872,0x058570,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.391678,3809873,0x058575,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.391678,3809873,0x058579,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.391701,3809874,0x05857E,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.408821,3810629,0x058585,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.408821,3810629,0x058589,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.408844,3810630,0x05858E,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.408844,3810630,0x058592,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.408866,3810631,0x058597,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.425964,3811385,0x05859E,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.425964,3811385,0x0585A2,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.425986,3811386,0x0585A7,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.425986,3811386,0x0585AB,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.426009,3811387,0x0585B0,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.443129,3812142,0x0585B7,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.443129,3812142,0x0585BB,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.443152,3812143,0x0585C0,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.443152,3812143,0x0585C4,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.443175,3812144,0x0585C9,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.460272,3812898,0x0585D0,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.460272,3812898,0x0585D4,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.460295,3812899,0x0585D9,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.460295,3812899,0x0585DD,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.460317,3812900,0x0585E2,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.477415,3813654,0x0585E9,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.477415,3813654,0x0585ED,0x0094,0x94,2,cur_mid,0x00,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.477438,3813655,0x0585F2,0x0015,0x15,2,loop_high,0x0D,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.477438,3813655,0x0585F6,0x0095,0x95,2,cur_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.477460,3813656,0x0585FB,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.495034,3814431,0x05866F,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.495057,3814432,0x058674,0x0094,0x94,2,cur_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_low_write
86.495057,3814432,0x058678,0x0015,0x15,2,loop_high,0x0D,1,1,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
86.495057,3814432,0x05867C,0x0095,0x95,2,cur_high,0x0D,2,2,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,current_pair_complete
86.495079,3814433,0x058681,0x0096,0x96,2,ctrl,0x02,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,control_active
86.511655,3815164,0x0586A4,0x0014,0x14,2,loop_mid,0x00,0,0,0x02,0x00,0x0D,0x0D0002,0x00,0x0D,0x0D00,0x24,0x80,0x00,0x00,0x02,0x00000,0x000D00,0,0x00D00,1,0,
