time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
6.158231,271578,0x010BA1,0x000E,0x0E,1,end,0x2E,0,0,0x00,0xAB,0x29,0x29AB00,0xAB,0x29,0x29AB,0x2E,0x90,0x38,0x38,0xC2,0x40000,0x0429AB,1,0x01CE3,1,1,
6.158231,271578,0x010BA5,0x000F,0x0F,1,delta,0x84,1,1,0x00,0xAB,0x29,0x29AB00,0xAB,0x29,0x29AB,0x2E,0x84,0x38,0x38,0xC2,0x40000,0x0429AB,1,0x01CE3,1,1,
6.158231,271578,0x010BA9,0x008E,0x8E,1,ctrl,0xC2,2,2,0x00,0xAB,0x29,0x29AB00,0xAB,0x29,0x29AB,0x2E,0x84,0x38,0x38,0xC2,0x40000,0x0429AB,1,0x01CE3,1,1,retrigger_commit
6.158821,271604,0x010BAF,0x000A,0x0A,1,vol_l,0x3F,0,0,0x00,0xAB,0x29,0x29AB00,0xAB,0x29,0x29AB,0x2E,0x84,0x3F,0x38,0xC2,0x40000,0x0429AB,1,0x01CE3,1,1,
6.158821,271604,0x010BB3,0x000B,0x0B,1,vol_r,0x3F,1,1,0x00,0xAB,0x29,0x29AB00,0xAB,0x29,0x29AB,0x2E,0x84,0x3F,0x3F,0xC2,0x40000,0x0429AB,1,0x01CE3,1,1,
6.158821,271604,0x010BB7,0x000C,0x0C,1,loop_mid,0x1D,2,2,0x00,0xAB,0x29,0x29AB00,0x1D,0x29,0x291D,0x2E,0x84,0x3F,0x3F,0xC2,0x40000,0x0429AB,1,0x01CE3,1,1,
6.158844,271605,0x010BBC,0x008C,0x8C,1,cur_mid,0x1D,0,0,0x00,0x1D,0x29,0x291D00,0x1D,0x29,0x291D,0x2E,0x84,0x3F,0x3F,0xC2,0x40000,0x04291D,,,1,1,current_low_write
6.158844,271605,0x010BC0,0x000D,0x0D,1,loop_high,0x0C,1,1,0x00,0x1D,0x29,0x291D00,0x1D,0x0C,0x0C1D,0x2E,0x84,0x3F,0x3F,0xC2,0x40000,0x04291D,,,1,1,
6.158844,271605,0x010BC4,0x008D,0x8D,1,cur_high,0x0C,2,2,0x00,0x1D,0x0C,0x0C1D00,0x1D,0x0C,0x0C1D,0x2E,0x84,0x3F,0x3F,0xC2,0x40000,0x040C1D,0,0x00000,1,1,current_pair_complete
6.158866,271606,0x010BC9,0x000E,0x0E,1,end,0x1B,0,0,0x00,0x1D,0x0C,0x0C1D00,0x1D,0x0C,0x0C1D,0x1B,0x84,0x3F,0x3F,0xC2,0x40000,0x040C1D,0,0x00000,1,1,
6.158866,271606,0x010BCD,0x000F,0x0F,1,delta,0x78,1,1,0x00,0x1D,0x0C,0x0C1D00,0x1D,0x0C,0x0C1D,0x1B,0x78,0x3F,0x3F,0xC2,0x40000,0x040C1D,0,0x00000,1,1,
6.158866,271606,0x010BD1,0x008E,0x8E,1,ctrl,0xC2,2,2,0x00,0x1D,0x0C,0x0C1D00,0x1D,0x0C,0x0C1D,0x1B,0x78,0x3F,0x3F,0xC2,0x40000,0x040C1D,0,0x00000,1,1,retrigger_commit
6.171066,272144,0x010BD8,0x000A,0x0A,1,vol_l,0x20,0,0,0x00,0x1D,0x0C,0x0C1D00,0x1D,0x0C,0x0C1D,0x1B,0x78,0x20,0x3F,0xC2,0x40000,0x040C1D,0,0x00000,1,1,
6.171066,272144,0x010BDC,0x000B,0x0B,1,vol_r,0x20,1,1,0x00,0x1D,0x0C,0x0C1D00,0x1D,0x0C,0x0C1D,0x1B,0x78,0x20,0x20,0xC2,0x40000,0x040C1D,0,0x00000,1,1,
6.171088,272145,0x010BE1,0x000C,0x0C,1,loop_mid,0x7C,0,0,0x00,0x1D,0x0C,0x0C1D00,0x7C,0x0C,0x0C7C,0x1B,0x78,0x20,0x20,0xC2,0x40000,0x040C1D,0,0x00000,1,1,
6.171088,272145,0x010BE5,0x008C,0x8C,1,cur_mid,0x7C,1,1,0x00,0x7C,0x0C,0x0C7C00,0x7C,0x0C,0x0C7C,0x1B,0x78,0x20,0x20,0xC2,0x40000,0x040C7C,0,0x0005F,1,1,current_low_write
